SKU,Nombre,Categoria,Fuente,Imagen local,URL fuente,Producto fuente,Estado
prod-50030,Veterinario Credelio Cats 1 comprimido Lotilaner 12 mg,Veterinaria,,,,,sin coincidencia segura
prod-50034,Veterinario Credelio Lotilaner 225 mg,Veterinaria,,,,,sin coincidencia segura
prod-50033,"Veterinario Credelio Lotilaner 112,5 mg",Veterinaria,,,,,sin coincidencia segura
prod-50032,"Veterinario Credelio Lotilaner 56,25 mg",Veterinaria,,,,,sin coincidencia segura
prod-49913,Veterinario Dermisolona 20 mg 10 comprimidos (Prednisolona 20 mg),Veterinaria,,,,,sin coincidencia segura
prod-50036,Veterinario Credelio Lotilaner 900 mg,Veterinaria,,,,,sin coincidencia segura
prod-40013,"Veterinario Dermisolona 0,4% jarabe 30 ml (Prednisolona 4 mg/1000 ml)",Veterinaria,,,,,sin coincidencia segura
prod-35643,Veterinario Doximicin 100 mg 30 comprimidos (Doxiciclina),Veterinaria,,,,,sin coincidencia segura
prod-50031,Veterinario Credelio Cats Lotilaner 48 mg,Veterinaria,,,,,sin coincidencia segura
prod-49914,"Veterinario Meloxivet Gatos (Meloxicam 0,5 mg)",Veterinaria,,,,,sin coincidencia segura
prod-49924,Veterinario Fibrinopet 300 mg 10 comprimidos (Papaina 300 mg),Veterinaria,,,,,sin coincidencia segura
prod-23764,Veterinario Rostrum 150 mg 10 comprimidos (Enrofloxacino),Veterinaria,,,,,sin coincidencia segura
prod-50192,Veterinario Laxavet Gel x 40 g (Malta 47 mg),Veterinaria,,,,,sin coincidencia segura
prod-37309,Veterinario Rostrum suspensión oral 20 ml (Enrofloxacino),Veterinaria,,,,,sin coincidencia segura
prod-49198,Aartam bioequivalente comprimidos recubiertos 500 mg 20 (Metronidazol 500 mg),Medicamentos,,,,,sin coincidencia segura
prod-49927,Veterinario Hemolivet 10 comprimidos (Vitaminas 24 mg),Veterinaria,,,,,sin coincidencia segura
prod-15561,"3M Micropore 2,5cm 9,1M con Piel",Accesorios,,,,,sin coincidencia segura
prod-50146,"Veterinario Trihepat jarabe 100 ml (Colina 1/1, Metionina 1/1, Silimarina 1/1)",Veterinaria,,,,,sin coincidencia segura
prod-38316,Aceite De Coco 250 ml (Ace De Coco 250 ml),Cuidado familiar,,,,,sin coincidencia segura
prod-39300,Aciclovir crema 5% 15 g l Chile,Medicamentos,,,,,sin coincidencia segura
prod-9541,Acetazolamida 250 mg 20 comprimidos,Medicamentos,Dr. Simi,/products/importadas/prod-9541-acetazolamida-250-mg-20-comprimidos-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/155861/BE0238-1.jpg?v=637964771450670000,Acetazolamida 250 mg 20 comprimidos,descargada
prod-49854,Aceite De Coco x 30 ml Green Med,Cuidado familiar,,,,,sin coincidencia segura
prod-49184,Aciclovir bioequivalente comprimidos 400 mg 35,Medicamentos,Dr. Simi,/products/importadas/prod-49184-aciclovir-bioequivalente-comprimidos-400-mg-35-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/155468/4.jpg?v=638911245775730000,Aciclovir 400 mg 35 comprimidos,descargada
prod-49320,Aciclovir crema 5% 15 g Hosp,Medicamentos,Dr. Simi,/products/importadas/prod-49320-aciclovir-crema-5-15-g-hosp-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/160803/CA0167-01-HOSPIFARMA.jpg?v=639160243864230000,Aciclovir 5 % crema dérmica 15 g,descargada
prod-49306,Ácido Mefenamico 500 mg 10 comprimidos Curae,Medicamentos,Dr. Simi,/products/importadas/prod-49306-acido-mefenamico-500-mg-10-comprimidos-curae-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/159664/Acido-Mefenamico-246-1_.jpg?v=638948353048500000,Ácido mefenámico 500 mg 10 comprimidos,descargada
prod-27155,"Acifin 10 comprimidos Masticables (Magaldrate 480 mg, Simeticona 100 mg)",Medicamentos,,,,,sin coincidencia segura
prod-49365,Adrisin comprimidos sublingual 50,Homeopatía,,,,,sin coincidencia segura
prod-5780,"Agua Del Carmen 40 ml (Clavo Olor 13 mg, Limon 113 mg, Melisa 113 mg, Menta 104 mg)",Medicamentos,,,,,sin coincidencia segura
prod-4876,"Aerogastrol 20 cápsulas (Clordiazepoxido 5 mg, Metoclopramida 5 mg, Simeticona 100 mg)",Medicamentos,Dr. Simi,/products/importadas/prod-4876-aerogastrol-20-capsulas-clordiazepoxido-5-mg-metoclopramida-5-mg-simeticona--dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/155445/CH5477-1.jpg?v=638664172895100000,Aerogastrol 20 cápsulas,descargada
prod-49527,Aguja Des Hipodermica 25GX 5/8 1 Un,Accesorios,,,,,sin coincidencia segura
prod-17141,Aerocamara Universal Ad/Es Sil,Medicamentos,Dr. Simi,/products/importadas/prod-17141-aerocamara-universal-ad-es-sil-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157126/CH7347-1.jpg?v=638012015345530000,Aerocámara del Dr. Simi 1 unidad,descargada
prod-34599,Ácido Acetilsalicilico 100 mg 100 comprimidos Pasteur,Medicamentos,Dr. Simi,/products/importadas/prod-34599-acido-acetilsalicilico-100-mg-100-comprimidos-pasteur-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/155474/AR2190-1.jpg?v=638948343408730000,Ácido acetilsalicílico 100 mg 100 comprimidos masticables,descargada
prod-50010,Aguja Hipodermica 23 g x 1 Unidad,Accesorios,Dr. Simi,/products/importadas/prod-50010-aguja-hipodermica-23-g-x-1-unidad-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/157722/CH9020.jpg?v=638664230228100000,Jeringa desechable con aguja 3 mL 1 unidad,descargada
prod-49746,Aguja Pt Lapiz 32GX 5/32 1 Un,Accesorios,,,,,sin coincidencia segura
prod-41453,Aguja Hipodermica 21GX 1-1/2,Accesorios,,,,,sin coincidencia segura
prod-49763,Alcohol Desn 70° Santepharma 250 ml,Accesorios,,,,,sin coincidencia segura
prod-50190,Alcohol 70% Isopropilico Spray x 290 Cc Difem (Dm),Accesorios,,,,,sin coincidencia segura
prod-49697,Alcohol Gel Neutro 70% 60CC,Higiene,,,,,sin coincidencia segura
prod-40179,Alflorex 30 cápsulas (Probioticos 1 mg),Medicamentos,,,,,sin coincidencia segura
prod-36007,"Alerpriv jarabe 2,5 mg/5 ml 100 ml Levocetirizina",Medicamentos,,,,,sin coincidencia segura
prod-50045,Alervit Forte x 60 Cápsulas (Vitalab) (Jengibre 1/1),Cuidado familiar,,,,,sin coincidencia segura
prod-50081,Alcohol Pad,Higiene,,,,,sin coincidencia segura
prod-35577,"All Out Piojos Locion + Peine (Ciclometicona, Dimeticona, Miristato De Isopropilo)",Dermocosmética,,,,,sin coincidencia segura
prod-12322,Algodon Corriente 50 g,Medicamentos,Dr. Simi,/products/importadas/prod-12322-algodon-corriente-50-g-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/155546/954-1.jpg?v=637964770368030000,Algodón hidrofilo americano  50 g,descargada
prod-10042,"Alprazolam 0,5 mg 30 comprimidos",Medicamentos,,,,,sin coincidencia segura
prod-49837,"Aloe Vera Gel 1LT Sab Maracuya Spring Life (Aloe Vera 0,09%)",Medicamentos,,,,,sin coincidencia segura
prod-49534,"Aloe Sup Alimentario 30 cápsulas (Aloina 0,05 mg, Calcio 0,062 g, Magnesio 0,05 g)",Medicamentos,Dr. Simi,/products/importadas/prod-49534-aloe-sup-alimentario-30-capsulas-aloina-0-05-mg-calcio-0-062-g-magnesio-0-05-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/155537/653-1.jpg?v=637964770334530000,Simivitaminas suplemento alimentario con vitaminas y minerales 30 cápsulas,descargada
prod-49657,"Ambilan Bid Forte 800/57 (Ácido Clavulanico 57 mg, Amoxicilina 800 mg)",Medicamentos,,,,,sin coincidencia segura
prod-32188,Always Ultra Fina M S 24 Un,Dermocosmética,,,,,sin coincidencia segura
prod-50111,Ambrosoli Dfulces Frutas 100 Un,Cuidado familiar,,,,,sin coincidencia segura
prod-29652,Ammen Col 210 ml + Col 75 ml,Dermocosmética,,,,,sin coincidencia segura
prod-21706,Amobiotic 1 g 20 comprimidos (Amoxicilina 1000 mg),Medicamentos,,,,,sin coincidencia segura
prod-7305,Amoval 1 g 14 comprimidos (Amoxicilina 1000 mg),Medicamentos,,,,,sin coincidencia segura
prod-49958,Amoxicilina 500 mg + Ácido Clavulanico 125 mg,Medicamentos,,,,,sin coincidencia segura
prod-49322,Amlodipino 10 mg comprimidos Pasteur,Medicamentos,,,,,sin coincidencia segura
prod-33717,Amlodipino 5 mg 30 comprimidos Mintlab,Medicamentos,,,,,sin coincidencia segura
prod-39038,Amoxicilina 500 mg 21 cápsulas (Bioequivalente)mintlab,Medicamentos,,,,,sin coincidencia segura
prod-49199,Amoxici Sus 250 mg/5 ml 60M (Amoxicilina 250 mg/5 ml),Medicamentos,Dr. Simi,/products/importadas/prod-49199-amoxici-sus-250-mg-5-ml-60m-amoxicilina-250-mg-5-ml-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/159715/Amoxicilina_polvo_para_suspension_oral_250_mg_5_ml_front.jpg?v=638936263359600000,Amoxicilina 250 mg/5 mL polvo para suspensión oral 60 mL,descargada
prod-49200,Amoxicilina Sus 500 mg 60*,Medicamentos,Dr. Simi,/products/importadas/prod-49200-amoxicilina-sus-500-mg-60-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156968/CH0009.jpg?v=638012014791100000,Amoxicilina 500 mg/5 mL polvo para suspensión oral 60 mL,descargada
prod-50203,Amoxicilina/Ácido Clavulanico 875/125 mg,Medicamentos,,,,,sin coincidencia segura
prod-49675,Anfebutamona 300 mg 30 comprimidos,Medicamentos,Dr. Simi,/products/importadas/prod-49675-anfebutamona-300-mg-30-comprimidos-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/159516/Fotos-Web-Ecommerce-copia_0001_Butrino-XL-BE0303-1.jpg?v=638991788334030000,Butrino XL anfebutamona 300 mg 30 comprimidos recubiertos de liberación prolongada,descargada
prod-49605,"Angeliq 28 comprimidos (Drospirenona 2 mg, Estradiol 1 mg)",Medicamentos,,,,,sin coincidencia segura
prod-49849,Amoxicilina/Ácido Clavulanico 875/125 mg 14 comprimidos,Medicamentos,,,,,sin coincidencia segura
prod-29908,"Antiax 6 comprimidos (Magaldrate 480 mg, Simeticona 100 mg)",Medicamentos,Dr. Simi,/products/importadas/prod-29908-antiax-6-comprimidos-magaldrate-480-mg-simeticona-100-mg-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156694/CH6034-1.jpg?v=637964774421230000,Antiax simeticona 100 mg magaldrato 480 mg 6 comprimidos masticables,descargada
prod-48592,"Apivit Inf comprimidos Mast 30 (Propoleo, Sucralosa)",Cuidado familiar,,,,,sin coincidencia segura
prod-28240,"Apeticat jarabe 100 ml (L-carnitina 1,6 g)",Veterinaria,,,,,sin coincidencia segura
prod-46502,Anzap comprimidos recubiertos 10 mg 30 (Olanzapina 10 mg),Medicamentos,Dr. Simi,/products/importadas/prod-46502-anzap-comprimidos-recubiertos-10-mg-30-olanzapina-10-mg-dr-simi.jpg,https://farmaciasdeldrsimicl.vteximg.com.br/arquivos/ids/156941/BE0145.jpg?v=638012014696630000,Olanvitae olanzapina 10 mg 28 comprimidos recubiertos,descargada
prod-34723,Aposito Hidrocoloide 10X 10CM 1 Un,Medicamentos,,,,,sin coincidencia segura
prod-49556,Apetipet jarabe 100 ml (L-carnitina 5 g),Veterinaria,,,,,sin coincidencia segura
prod-49901,Aposito Gasa + Algodón 10X 10 Cm,Medicamentos,,,,,sin coincidencia segura
prod-50120,Aquafresh Pasta Triple Protection 95 g,Dermocosmética,,,,,sin coincidencia segura
prod-16260,Aqua Flex Cep Norm/Suave 2X 1,Dermocosmética,,,,,sin coincidencia segura
prod-28102,"Aposito Transparente 10,12cm",Medicamentos,,,,,sin coincidencia segura
prod-50194,Aposito Hidrogel Tubo x 15 g (Dm),Medicamentos,,,,,sin coincidencia segura
prod-49283,Aquafresh Pasta Triple Protection 158 g,Dermocosmética,,,,,sin coincidencia segura
prod-33404,Aquaf l Teeth Cep Suave 3-5A,Dermocosmética,,,,,sin coincidencia segura
prod-32380,"Arama Artrosome C + D 30 Sob (Ácido Ascorbico, Colageno Hidrolizado, Vitamina D)",Homeopatía,,,,,sin coincidencia segura
prod-39257,Aquaphor Pomada Rep 55 ml Eucerin,Dermocosmética,,,,,sin coincidencia segura
prod-39333,Arama Broxul jarabe 120 ml,Medicamentos,,,,,sin coincidencia segura
prod-46264,Aquarius Manz 0%AZ sin g 500,Medicamentos,,,,,sin coincidencia segura
