SKU,Nombre,Categoria,Imagen local,URL para WooCommerce,Fuente
prod-50030,Veterinario Credelio Cats 1 comprimido Lotilaner 12 mg,Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-50031,Veterinario Credelio Cats Lotilaner 48 mg,Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-50033,"Veterinario Credelio Lotilaner 112,5 mg",Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-50034,Veterinario Credelio Lotilaner 225 mg,Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-50032,"Veterinario Credelio Lotilaner 56,25 mg",Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-50036,Veterinario Credelio Lotilaner 900 mg,Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-40013,"Veterinario Dermisolona 0,4% jarabe 30 ml (Prednisolona 4 mg/1000 ml)",Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-49913,Veterinario Dermisolona 20 mg 10 comprimidos (Prednisolona 20 mg),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-35643,Veterinario Doximicin 100 mg 30 comprimidos (Doxiciclina),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-49924,Veterinario Fibrinopet 300 mg 10 comprimidos (Papaina 300 mg),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-49927,Veterinario Hemolivet 10 comprimidos (Vitaminas 24 mg),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-50192,Veterinario Laxavet Gel x 40 g (Malta 47 mg),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-49914,"Veterinario Meloxivet Gatos (Meloxicam 0,5 mg)",Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-23764,Veterinario Rostrum 150 mg 10 comprimidos (Enrofloxacino),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-37309,Veterinario Rostrum suspensión oral 20 ml (Enrofloxacino),Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-50146,"Veterinario Trihepat jarabe 100 ml (Colina 1/1, Metionina 1/1, Silimarina 1/1)",Veterinaria,/products/receta.svg,,placeholder_o_no_importable
prod-15561,"3M Micropore 2,5cm 9,1M con Piel",Accesorios,/products/suero.svg,,placeholder_o_no_importable
prod-49198,Aartam bioequivalente comprimidos recubiertos 500 mg 20 (Metronidazol 500 mg),Medicamentos,/products/receta.svg,,placeholder_o_no_importable
prod-13055,Ab Antisep Buc 12 comprimidos (Clorhexidina 5 mg),Medicamentos,/products/showcase/medicamentos/ab-antisep-buc-12comp.jpg,http://farmacia-andes.abc/products/showcase/medicamentos/ab-antisep-buc-12comp.jpg,override_comun
prod-13056,"Ab Antitusivo 12 comprimidos (Clorhexidina 5 mg, Noscapina 10 mg)",Medicamentos,/products/showcase/medicamentos/ab-antitusivo-12comp.jpg,http://farmacia-andes.abc/products/showcase/medicamentos/ab-antitusivo-12comp.jpg,override_comun
prod-202,Abrilar jarabe 100 ml (Extracto Hedera Helix 35 mg/5 ml),Medicamentos,/products/medicamentos/prod-202-abrilar-jarabe-100-ml-extracto-hedera-helix-35-mg-5-ml.jpg,http://farmacia-andes.abc/products/medicamentos/prod-202-abrilar-jarabe-100-ml-extracto-hedera-helix-35-mg-5-ml.jpg,archivo_local_por_sku
prod-49812,Ácido Valproico 250 mg 20 comprimidos,Medicamentos,/products/importadas/prod-49812-acido-valproico-250-mg-20-comprimidos-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49812-acido-valproico-250-mg-20-comprimidos-dr-simi.jpg,archivo_local_por_sku
prod-46155,Ácido Acetilsalicílico bioequivalente comprimidos 100 mg 100 comprimidos,Medicamentos,/products/medicamentos/prod-46155-acido-acetilsalicilico-bioequivalente-comprimidos-100-mg-100-comprimid.jpg,http://farmacia-andes.abc/products/medicamentos/prod-46155-acido-acetilsalicilico-bioequivalente-comprimidos-100-mg-100-comprimid.jpg,archivo_local_por_sku
prod-23597,Ácido Valproico 200 mg 30 comprimidos Andromaco,Medicamentos,/products/medicamentos/prod-23597-acido-valproico-200-mg-30-comprimidos-andromaco.jpg,http://farmacia-andes.abc/products/medicamentos/prod-23597-acido-valproico-200-mg-30-comprimidos-andromaco.jpg,archivo_local_por_sku
prod-28544,Ácido Valproico 500 mg 30 comprimidos,Medicamentos,/products/showcase/medicamentos/acido-valproico-500mg-30comp.jpg,http://farmacia-andes.abc/products/showcase/medicamentos/acido-valproico-500mg-30comp.jpg,override_comun
prod-38316,Aceite De Coco 250 ml (Ace De Coco 250 ml),Cuidado familiar,/products/suero.svg,,placeholder_o_no_importable
prod-49854,Aceite De Coco x 30 ml Green Med,Cuidado familiar,/products/suero.svg,,placeholder_o_no_importable
prod-8922,Aceite Ricino Puro 20 ml Valma,Medicamentos,/products/showcase/medicamentos/aceite-ricino-puro-valma-20g.jpg,http://farmacia-andes.abc/products/showcase/medicamentos/aceite-ricino-puro-valma-20g.jpg,override_comun
prod-29828,Acemuk polvo para jarabe 100 mg/5 ml (N-acetilcisteina 100 mg/5 ml),Medicamentos,/products/medicamentos/prod-29828-acemuk-polvo-para-jarabe-100-mg-5-ml-n-acetilcisteina-100-mg-5-ml.jpg,http://farmacia-andes.abc/products/medicamentos/prod-29828-acemuk-polvo-para-jarabe-100-mg-5-ml-n-acetilcisteina-100-mg-5-ml.jpg,archivo_local_por_sku
prod-9541,Acetazolamida 250 mg 20 comprimidos,Medicamentos,/products/importadas/prod-9541-acetazolamida-250-mg-20-comprimidos-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-9541-acetazolamida-250-mg-20-comprimidos-dr-simi.jpg,archivo_local_por_sku
prod-31274,Aciclovir 200 mg 24 comprimidos Mintlab,Medicamentos,/products/medicamentos/prod-31274-aciclovir-200-mg-24-comprimidos-mintlab.jpg,http://farmacia-andes.abc/products/medicamentos/prod-31274-aciclovir-200-mg-24-comprimidos-mintlab.jpg,archivo_local_por_sku
prod-49184,Aciclovir bioequivalente comprimidos 400 mg 35,Medicamentos,/products/importadas/prod-49184-aciclovir-bioequivalente-comprimidos-400-mg-35-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49184-aciclovir-bioequivalente-comprimidos-400-mg-35-dr-simi.jpg,archivo_local_por_sku
prod-49320,Aciclovir crema 5% 15 g Hosp,Medicamentos,/products/importadas/prod-49320-aciclovir-crema-5-15-g-hosp-dr-simi.jpg,http://farmacia-andes.abc/products/importadas/prod-49320-aciclovir-crema-5-15-g-hosp-dr-simi.jpg,archivo_local_por_sku
prod-39300,Aciclovir crema 5% 15 g l Chile,Medicamentos,/products/receta.svg,,placeholder_o_no_importable
