Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Tax status,In stock?,Stock,Backorders allowed?,Sold individually?,Categories,Tags,Images,Meta: _farmacia_andes_registro_isp,Meta: _farmacia_andes_principio_activo,Meta: _farmacia_andes_condicion_venta,Meta: _farmacia_andes_requiere_receta,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,prod-50030,Veterinario Credelio Cats 1 comprimido Lotilaner 12 mg,1,1,visible,Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,9690,,taxable,1,,0,0,Veterinaria,"ELANCO, Requiere receta, Destacado",,,,Venta con receta médica,yes,Marca,ELANCO,1,0,Formato,1 comprimido,1,0
simple,prod-50031,Veterinario Credelio Cats Lotilaner 48 mg,1,1,visible,Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,11990,,taxable,1,,0,0,Veterinaria,"ELANCO, Requiere receta, Destacado",,,,Venta con receta médica,yes,Marca,ELANCO,1,0,Formato,1 comprimido,1,0
simple,prod-50033,"Veterinario Credelio Lotilaner 112,5 mg",1,1,visible,Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,6690,,taxable,1,,0,0,Veterinaria,"ELANCO, Requiere receta, Destacado",,,,Venta con receta médica,yes,Marca,ELANCO,1,0,Formato,1 comprimido,1,0
simple,prod-50034,Veterinario Credelio Lotilaner 225 mg,1,1,visible,Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,7290,,taxable,1,,0,0,Veterinaria,"ELANCO, Requiere receta, Destacado",,,,Venta con receta médica,yes,Marca,ELANCO,1,0,Formato,1 comprimido,1,0
simple,prod-50032,"Veterinario Credelio Lotilaner 56,25 mg",1,1,visible,Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,5990,,taxable,1,,0,0,Veterinaria,"ELANCO, Requiere receta, Destacado",,,,Venta con receta médica,yes,Marca,ELANCO,1,0,Formato,1 comprimido,1,0
simple,prod-50036,Veterinario Credelio Lotilaner 900 mg,1,1,visible,Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antiparasitario Externo. Presentación: 1 comprimido. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,9690,,taxable,1,,0,0,Veterinaria,"ELANCO, Requiere receta, Destacado",,,,Venta con receta médica,yes,Marca,ELANCO,1,0,Formato,1 comprimido,1,0
simple,prod-40013,"Veterinario Dermisolona 0,4% jarabe 30 ml (Prednisolona 4 mg/1000 ml)",1,0,visible,Anti-inflamatorio No Esteroidal. Presentación: 30 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Anti-inflamatorio No Esteroidal. Presentación: 30 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,15600,,taxable,1,,0,0,Veterinaria,"DRAG PHARMA VETERINARIA MENOR, Requiere receta",,,,Venta con receta médica,yes,Marca,DRAG PHARMA VETERINARIA MENOR,1,0,Formato,30 mililitros,1,0
simple,prod-49913,Veterinario Dermisolona 20 mg 10 comprimidos (Prednisolona 20 mg),1,0,visible,Analgesico-antiinflamatorio. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Analgesico-antiinflamatorio. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,14490,,taxable,1,,0,0,Veterinaria,"DRAG PHARMA VETERINARIA MENOR, Requiere receta",,,,Venta con receta médica,yes,Marca,DRAG PHARMA VETERINARIA MENOR,1,0,Formato,10 comprimidos,1,0
simple,prod-35643,Veterinario Doximicin 100 mg 30 comprimidos (Doxiciclina),1,0,visible,Antibioterapia. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Antibioterapia. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,11900,,taxable,1,,0,0,Veterinaria,"DRAG PHARMA VETERINARIA MENOR, Requiere receta",,,,Venta con receta médica,yes,Marca,DRAG PHARMA VETERINARIA MENOR,1,0,Formato,10 comprimidos,1,0
simple,prod-49924,Veterinario Fibrinopet 300 mg 10 comprimidos (Papaina 300 mg),1,0,visible,Suplemento Alimenticio. Presentación: 10 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Suplemento Alimenticio. Presentación: 10 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,8000,,taxable,1,,0,0,Veterinaria,"VITANIMAL, Venta libre",,,,Venta libre,no,Marca,VITANIMAL,1,0,Formato,10 comprimidos,1,0
simple,prod-49927,Veterinario Hemolivet 10 comprimidos (Vitaminas 24 mg),1,0,visible,Polivitaminoterapia. Presentación: 10 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Polivitaminoterapia. Presentación: 10 comprimidos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,6990,,taxable,1,,0,0,Veterinaria,"VITANIMAL, Venta libre",,,,Venta libre,no,Marca,VITANIMAL,1,0,Formato,10 comprimidos,1,0
simple,prod-50192,Veterinario Laxavet Gel x 40 g (Malta 47 mg),1,0,visible,Laxante. Presentación: 40 gramos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Laxante. Presentación: 40 gramos. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,12990,,taxable,1,,0,0,Veterinaria,"BROUWER, Venta libre",,,,Venta libre,no,Marca,BROUWER,1,0,Formato,40 gramos,1,0
simple,prod-49914,"Veterinario Meloxivet Gatos (Meloxicam 0,5 mg)",1,0,visible,Analgesico-antiinflamatorio. Presentación: 20 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Analgesico-antiinflamatorio. Presentación: 20 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,16490,,taxable,1,,0,0,Veterinaria,"DRAG PHARMA VETERINARIA MENOR, Requiere receta",,,,Venta con receta médica,yes,Marca,DRAG PHARMA VETERINARIA MENOR,1,0,Formato,20 mililitros,1,0
simple,prod-23764,Veterinario Rostrum 150 mg 10 comprimidos (Enrofloxacino),1,0,visible,Sin Asignacion. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Sin Asignacion. Presentación: 10 comprimidos. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,17690,,taxable,1,,0,0,Veterinaria,"DRAG PHARMA VETERINARIA MENOR, Requiere receta",,,,Venta con receta médica,yes,Marca,DRAG PHARMA VETERINARIA MENOR,1,0,Formato,10 comprimidos,1,0
simple,prod-37309,Veterinario Rostrum suspensión oral 20 ml (Enrofloxacino),1,0,visible,Sin Asignacion. Presentación: 20 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Sin Asignacion. Presentación: 20 mililitros. Venta con receta médica. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,9390,,taxable,1,,0,0,Veterinaria,"DRAG PHARMA VETERINARIA MENOR, Requiere receta",,,,Venta con receta médica,yes,Marca,DRAG PHARMA VETERINARIA MENOR,1,0,Formato,20 mililitros,1,0
simple,prod-50146,"Veterinario Trihepat jarabe 100 ml (Colina 1/1, Metionina 1/1, Silimarina 1/1)",1,0,visible,Hepatoprotector. Presentación: 100 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.,<p>Hepatoprotector. Presentación: 100 mililitros. Venta directa o según indicación profesional. Precio referencial del listado vigente; confirma disponibilidad por WhatsApp.</p><p>Disponibilidad y precio sujetos a confirmación de stock en farmacia.</p>,18990,,taxable,1,,0,0,Veterinaria,"LABYES, Venta libre",,,,Venta libre,no,Marca,LABYES,1,0,Formato,100 mililitros,1,0
